time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,860.5975,610.37,1584.625,1609.59125,2018.49375,1878.6375,1075.375,1106.08125,2481.5,1625.75,33.8,52.25
0.1,860.48625,610.37,1584.625,1609.48125,2018.43125,1878.57,1075.375,1106.08125,2481.375,1625.625,33.77,52.22
0.2,860.48625,610.37,1584.625,1609.37125,2018.3675,1878.5025,1075.375,1105.87125,2481.25,1625.5,33.78,52.23
0.3,860.375,610.245,1584.625,1609.2625,2018.305,1878.435,1075.375,1105.66,2481.25,1625.5,33.78,52.18
0.4,860.26375,610.245,1584.5,1609.1525,2018.2425,1878.435,1075.375,1105.66,2481.25,1625.5,33.8,52.24
0.5,860.15125,610.12,1584.5,1609.0425,2018.17875,1878.36875,1075.375,1105.44875,2481.125,1625.375,33.8,52.21
0.6,860.04,610.12,1584.5,1609.0425,2018.11625,1878.36875,1075.25,1105.2375,2481.125,1625.25,33.81,52.2
0.7,860.04,609.995,1584.5,1608.9325,2018.05375,1878.30125,1075.25,1105.2375,2481,1625.25,33.8,52.19
0.8,860.04,609.995,1584.5,1608.82375,2017.99,1878.23375,1075.25,1105.0275,2481,1625.125,33.8,52.2
0.9,859.8175,609.995,1584.5,1608.71375,2017.9275,1878.16625,1075.25,1104.81625,2480.875,1625.125,33.83,52.13
1.0,859.8175,609.995,1584.5,1608.49375,2017.865,1878.16625,1075.25,1104.81625,2480.875,1625,33.81,52.12
1.1,859.705,609.87,1584.5,1608.49375,2017.80125,1878.09875,1075.25,1104.605,2480.875,1625,33.81,52.15
1.2,859.59375,609.87,1584.5,1608.385,2017.73875,1878.09875,1075.25,1104.39375,2480.75,1624.75,33.83,52.14
1.3,859.59375,609.745,1584.5,1608.275,2017.67625,1878.03125,1075.125,1104.39375,2480.625,1624.75,33.83,52.13
1.4,859.4825,609.745,1584.5,1608.275,2017.6125,1878.03125,1075.125,1104.18375,2480.625,1624.75,33.81,52.11
1.5,859.37125,609.745,1584.5,1608.05625,2017.55,1877.96375,1075.125,1103.76125,2480.5,1624.625,33.8,52.11
1.6,859.25875,609.62,1584.5,1607.94625,2017.4875,1877.96375,1075.125,1103.76125,2480.5,1624.625,33.83,52.07
1.7,859.25875,609.62,1584.5,1607.94625,2017.42375,1877.89625,1075,1103.55,2480.375,1624.5,33.8,52.07
1.8,859.25875,609.62,1584.5,1607.83625,2017.36125,1877.89625,1075,1103.34,2480.375,1624.5,33.81,52.07
1.9,859.1475,609.62,1584.5,1607.72625,2017.29875,1877.82875,1075,1103.34,2480.25,1624.375,33.78,52.08
2.0,859.03625,609.62,1584.5,1607.6175,2017.235,1877.82875,1075,1103.12875,2480.25,1624.375,33.83,52.06
2.1,859.03625,609.495,1584.375,1607.5075,2017.235,1877.82875,1075,1102.9175,2480.25,1624.25,33.81,52.06
2.2,858.92375,609.495,1584.375,1607.5075,2017.1725,1877.7625,1075,1102.70625,2480.125,1624.25,33.8,52.06
2.3,858.8125,609.37,1584.375,1607.3975,2017.11,1877.695,1075,1102.49625,2480.125,1624.125,33.8,52
2.4,858.70125,609.37,1584.375,1607.2875,2017.04625,1877.7625,1075,1102.49625,2480.125,1624.125,33.81,52.01
2.5,858.70125,609.37,1584.375,1607.17875,2016.98375,1877.695,1075,1102.285,2480,1624,33.81,52.01
2.6,858.59,609.37,1584.375,1607.17875,2016.92125,1877.6275,1075,1102.285,2480,1624,33.81,52.02
2.7,858.4775,609.37,1584.375,1607.06875,2016.92125,1877.6275,1074.875,1102.07375,2480,1623.875,33.81,52.02
2.8,858.4775,609.24625,1584.375,1606.95875,2016.8575,1877.6275,1074.875,1102.07375,2479.875,1623.875,33.83,52
2.9,858.4775,609.24625,1584.375,1606.84875,2016.795,1877.6275,1074.875,1102.07375,2479.875,1623.75,33.81,52.01
3.0,858.36625,609.24625,1584.375,1606.74,2016.795,1877.56,1074.875,1101.8625,2479.75,1623.75,33.83,51.96
3.1,858.255,609.24625,1584.375,1606.63,2016.7325,1877.56,1074.875,1101.65125,2479.75,1623.625,33.81,51.97
3.2,858.255,609.24625,1584.375,1606.63,2016.66875,1877.56,1074.875,1101.65125,2479.75,1623.625,33.81,51.93
3.3,858.14375,609.12125,1584.375,1606.52,2016.66875,1877.4925,1074.875,1101.44125,2479.625,1623.625,33.84,51.95
3.4,858.14375,609.12125,1584.375,1606.52,2016.60625,1877.4925,1074.75,1101.44125,2479.625,1623.5,33.81,51.93
3.5,858.0325,609.12125,1584.375,1606.41125,2016.54375,1877.4925,1074.875,1101.23,2479.5,1623.5,33.83,51.93
3.6,857.92,609.12125,1584.375,1606.30125,2016.54375,1877.4925,1074.75,1101.23,2479.5,1623.375,33.83,51.91
3.7,857.80875,609.12125,1584.375,1606.19125,2016.48,1877.4925,1074.875,1101.01875,2479.5,1623.375,33.8,51.92
3.8,857.80875,608.99625,1584.375,1606.19125,2016.48,1877.4925,1074.75,1100.8075,2479.5,1623.375,33.81,51.91
3.9,857.80875,608.99625,1584.375,1606.08125,2016.4175,1877.425,1074.75,1100.8075,2479.375,1623.375,33.83,51.92
4.0,857.6975,608.99625,1584.375,1605.9725,2016.4175,1877.425,1074.75,1100.5975,2479.375,1623.25,33.8,51.9
4.1,857.585,608.99625,1584.375,1605.8625,2016.35375,1877.425,1074.75,1100.5975,2479.375,1623.25,33.83,51.88
4.2,857.585,608.99625,1584.25,1605.8625,2016.29125,1877.425,1074.875,1100.5975,2479.25,1623.125,33.81,51.89
4.3,857.47375,608.87125,1584.375,1605.7525,2016.29125,1877.425,1074.75,1100.38625,2479.375,1623.125,33.81,51.88
4.4,857.47375,608.87125,1584.25,1605.7525,2016.22875,1877.3575,1074.75,1100.175,2479.25,1623.125,33.83,51.87
4.5,857.3625,608.87125,1584.25,1605.6425,2016.16625,1877.3575,1074.75,1099.96375,2479.125,1623,33.83,51.91
4.6,857.3625,608.87125,1584.25,1605.53375,2016.16625,1877.3575,1074.75,1099.96375,2479.125,1623,33.8,51.88
4.7,857.25125,608.74625,1584.25,1605.53375,2016.1025,1877.3575,1074.75,1099.75375,2479.125,1623,33.83,51.88
4.8,857.25125,608.74625,1584.25,1605.42375,2016.1025,1877.3575,1074.75,1099.5425,2479.125,1622.875,33.85,51.86
4.9,857.13875,608.74625,1584.25,1605.42375,2016.04,1877.3575,1074.75,1099.5425,2479,1622.875,33.85,51.9
5.0,857.13875,608.74625,1584.25,1605.31375,2015.97625,1877.29,1074.625,1099.5425,2479.125,1622.875,33.84,51.87
5.1,857.0275,608.74625,1584.25,1605.205,2015.97625,1877.3575,1074.625,1099.33125,2479,1622.75,33.81,51.85
5.2,856.91625,608.62125,1584.375,1605.205,2015.97625,1877.29,1074.625,1099.33125,2479,1622.75,33.83,51.88
5.3,856.91625,608.62125,1584.375,1605.095,2015.91375,1877.29,1074.625,1099.12,2478.875,1622.75,33.81,51.86
5.4,856.805,608.62125,1584.375,1604.985,2015.91375,1877.29,1074.625,1099.12,2479,1622.75,33.81,51.86
5.5,856.805,608.62125,1584.375,1604.875,2015.85125,1877.29,1074.625,1099.12,2478.875,1622.625,33.83,51.84
5.6,856.6925,608.62125,1584.25,1604.875,2015.85125,1877.29,1074.625,1098.69875,2478.875,1622.625,33.83,51.85
5.7,856.6925,608.49625,1584.25,1604.875,2015.7875,1877.29,1074.625,1098.69875,2478.875,1622.625,33.83,51.82
5.8,856.6925,608.49625,1584.375,1604.76625,2015.7875,1877.29,1074.75,1098.69875,2478.875,1622.625,33.83,51.82
5.9,856.47,608.49625,1584.375,1604.76625,2015.7875,1877.29,1074.625,1098.4875,2478.75,1622.5,33.83,51.87
6.0,856.47,608.49625,1584.25,1604.65625,2015.725,1877.29,1074.625,1098.4875,2478.75,1622.5,33.83,51.83
6.1,856.47,608.49625,1584.25,1604.54625,2015.725,1877.29,1074.75,1098.27625,2478.75,1622.5,33.81,51.81
6.2,856.35875,608.37125,1584.375,1604.54625,2015.6625,1877.29,1074.625,1098.27625,2478.75,1622.375,33.81,51.83
