time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,852.45375,623.74375,1638.875,1600.38,2039.57375,1911.77625,1117.375,985.20875,2394.875,1582.625,36.46,51.22
0.1,852.3425,623.61875,1638.875,1600.27,2039.4475,1911.575,1117.25,984.9975,2394.625,1582.375,36.48,51.2
0.2,852.3425,623.36875,1638.75,1600.16,2039.3225,1911.3725,1117.25,984.9975,2394.375,1582.125,36.48,51.2
0.3,852.3425,623.36875,1638.75,1600.05,2039.19625,1911.17125,1117.25,984.78625,2394.125,1582,36.48,51.16
0.4,852.3425,623.11875,1638.75,1599.94125,2039.07,1911.03625,1117.125,984.575,2394,1581.75,36.48,51.13
0.5,852.23,622.99375,1638.625,1599.83125,2039.0075,1910.83375,1117,984.575,2393.75,1581.625,36.49,51.12
0.6,852.11875,622.86875,1638.625,1599.72125,2038.88125,1910.69875,1117,984.365,2393.625,1581.375,36.49,51.13
0.7,852.11875,622.61875,1638.625,1599.61125,2038.755,1910.4975,1117,984.15375,2393.375,1581.25,36.48,51.1
0.8,852.0075,622.49375,1638.625,1599.5025,2038.63,1910.295,1116.875,983.9425,2393.25,1581,36.51,51.06
0.9,852.0075,622.36875,1638.625,1599.3925,2038.50375,1910.16,1116.875,983.52125,2393.125,1580.875,36.51,51.08
1.0,851.89625,622.11875,1638.5,1599.2825,2038.44125,1910.025,1116.75,983.52125,2392.875,1580.625,36.52,51.04
1.1,851.89625,621.99375,1638.5,1599.1725,2038.315,1909.82375,1116.75,983.31,2392.75,1580.5,36.51,51.02
1.2,851.78375,621.86875,1638.5,1599.06375,2038.18875,1909.68875,1116.625,983.09875,2392.5,1580.25,36.49,51
1.3,851.78375,621.61875,1638.375,1598.84375,2038.06375,1909.55375,1116.625,982.8875,2392.375,1580,36.51,50.99
1.4,851.6725,621.49375,1638.375,1598.73375,2038,1909.3525,1116.625,982.6775,2392.25,1579.875,36.48,50.93
1.5,851.56125,621.36875,1638.375,1598.625,2037.875,1909.2175,1116.5,982.46625,2392.125,1579.75,36.52,50.94
1.6,851.56125,621.11875,1638.25,1598.515,2037.74875,1909.0825,1116.375,982.04375,2391.875,1579.5,36.51,50.94
1.7,851.45,620.99375,1638.25,1598.405,2037.68625,1908.9475,1116.375,982.255,2391.75,1579.375,36.51,50.98
1.8,851.3375,620.86875,1638.25,1598.29625,2037.56,1908.81375,1116.375,982.04375,2391.625,1579.125,36.49,50.94
1.9,851.22625,620.61875,1638.25,1598.18625,2037.43375,1908.67875,1116.25,981.8325,2391.375,1579,36.52,50.91
2.0,851.115,620.49375,1638.25,1597.96625,2037.30875,1908.54375,1116.125,981.6225,2391.25,1578.875,36.51,50.87
2.1,851.00375,620.36875,1638.125,1597.8575,2037.245,1908.40875,1116.25,981.2,2391.125,1578.625,36.52,50.88
