time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,826.3475,621.74375,1640.375,1577.35,2033.28125,1909.48625,1092.75,906.94625,2354.25,1523.875,36.82,50.12
0.1,826.3475,621.74375,1640.25,1577.24,2033.21875,1909.285,1092.75,907.1575,2354.125,1523.625,36.83,50.06
0.2,826.45875,621.61875,1640.25,1577.35,2033.155,1909.15,1092.75,907.1575,2353.875,1523.5,36.86,50.11
0.3,826.45875,621.49375,1640.25,1577.35,2033.0925,1908.9475,1092.625,906.94625,2353.625,1523.375,36.82,50.04
0.4,826.57,621.49375,1640.25,1577.24,2033.0925,1908.81375,1092.625,906.94625,2353.375,1523.25,36.85,50.04
0.5,826.57,621.36875,1640.25,1577.35,2033.03,1908.67875,1092.5,906.94625,2353.25,1523.125,36.86,50.07
0.6,826.57,621.24375,1640.125,1577.24,2032.90375,1908.47625,1092.5,906.94625,2353,1523,36.85,50.02
0.7,826.57,621.24375,1640.125,1577.24,2032.84125,1908.34125,1092.5,906.735,2352.875,1522.875,36.85,50.03
0.8,826.68125,621.11875,1640.125,1577.24,2032.7775,1908.14,1092.375,906.735,2352.625,1522.625,36.85,50
0.9,826.68125,620.86875,1640.125,1577.13,2032.715,1907.9375,1092.375,906.735,2352.5,1522.5,36.86,49.98
1.0,826.68125,620.74375,1640.125,1577.13,2032.65125,1907.8025,1092.375,906.525,2352.25,1522.25,36.87,49.99
1.1,826.68125,620.74375,1640.125,1577.13,2032.58875,1907.60125,1092.25,906.525,2352,1522.125,36.86,50.02
1.2,826.68125,620.61875,1640,1577.13,2032.52625,1907.53375,1092.25,906.31375,2351.875,1522,36.85,49.96
1.3,826.68125,620.36875,1640,1577.02125,2032.4625,1907.33125,1092.25,906.31375,2351.75,1521.75,36.85,49.98
1.4,826.68125,620.24375,1640,1577.02125,2032.3375,1907.19625,1092.125,906.1025,2351.5,1521.625,36.87,49.95
1.5,826.79375,620.11875,1640,1576.91125,2032.275,1906.995,1092.125,906.1025,2351.375,1521.5,36.87,49.97
1.6,826.68125,619.99375,1640,1576.91125,2032.21125,1906.86,1092.125,905.89125,2351.125,1521.25,36.85,49.94
1.7,826.68125,619.86875,1640,1576.80125,2032.085,1906.725,1092,905.68125,2351,1521.125,36.87,49.89
1.8,826.68125,619.74375,1640,1576.80125,2032.0225,1906.5225,1092,905.68125,2350.75,1520.875,36.86,49.9
1.9,826.68125,619.61875,1639.875,1576.69125,2031.96,1906.38875,1092,905.47,2350.625,1520.75,36.87,49.89
2.0,826.68125,619.36875,1640,1576.69125,2031.89625,1906.25375,1091.875,905.47,2350.5,1520.625,36.86,49.86
2.1,826.68125,619.24375,1639.875,1576.69125,2031.77125,1906.11875,1091.875,905.25875,2350.375,1520.375,36.87,49.85
2.2,826.68125,619.11875,1639.875,1576.5825,2031.7075,1905.98375,1091.875,905.0475,2350.25,1520.25,36.86,49.86
2.3,826.68125,618.99375,1639.875,1576.5825,2031.645,1905.85,1091.875,905.0475,2350.125,1520.125,36.86,49.82
2.4,826.68125,618.86875,1639.875,1576.4725,2031.5825,1905.715,1091.75,904.8375,2350,1520,36.87,49.82
2.5,826.68125,618.74375,1639.75,1576.4725,2031.45625,1905.58,1091.75,904.8375,2349.875,1519.75,36.86,49.79
2.6,826.68125,618.61875,1639.75,1576.3625,2031.39375,1905.445,1091.75,904.62625,2349.75,1519.625,36.86,49.78
2.7,826.57,618.36875,1639.875,1576.25375,2031.33,1905.3775,1091.75,904.415,2349.75,1519.5,36.89,49.76
2.8,826.68125,618.24375,1639.75,1576.25375,2031.205,1905.24375,1091.625,904.415,2349.625,1519.375,36.86,49.72
2.9,826.57,618.11875,1639.75,1576.14375,2031.14125,1905.10875,1091.625,904.20375,2349.5,1519.125,36.89,49.76
3.0,826.45875,617.99375,1639.75,1576.14375,2031.07875,1904.97375,1091.625,904.20375,2349.375,1519,36.87,49.69
3.1,826.57,617.86875,1639.75,1576.03375,2031.01625,1904.90625,1091.625,903.9925,2349.25,1518.875,36.89,49.69
3.2,826.57,617.74375,1639.75,1575.92375,2030.89,1904.83875,1091.625,903.7825,2349.25,1518.625,36.86,49.69
3.3,826.45875,617.49375,1639.75,1575.92375,2030.89,1904.70375,1091.625,903.57125,2349.125,1518.5,36.87,49.65
3.4,826.45875,617.36875,1639.625,1575.92375,2030.8275,1904.57,1091.5,903.57125,2349,1518.375,36.87,49.64
