time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,947.8425,704.855,1765.125,1690.41375,2086.7675,1949.9675,1167.25,1288.13,2446.5,1637.75,37.5,54.29
0.1,947.62,704.605,1765.125,1690.30375,2086.705,1949.9675,1167.125,1288.13,2446.25,1637.75,37.5,54.29
0.2,947.5075,704.48,1765.125,1690.085,2086.64125,1949.9,1167.125,1287.70875,2446,1637.75,37.52,54.3
0.3,947.285,704.23,1765,1689.975,2086.57875,1949.9,1167.125,1287.4975,2445.75,1637.875,37.5,54.23
0.4,947.285,703.98,1765,1689.75625,2086.39,1949.8325,1167,1287.28625,2445.625,1637.875,37.52,54.33
0.5,947.06125,703.73,1765,1689.53625,2086.32625,1949.765,1167,1287.07625,2445.375,1637.875,37.52,54.32
0.6,946.95,703.48,1764.875,1689.3175,2086.26375,1949.63125,1166.875,1286.865,2445.125,1637.875,37.52,54.28
0.7,946.72625,703.23,1764.875,1689.2075,2086.1375,1949.56375,1166.875,1286.65375,2444.875,1638,37.52,54.28
0.8,946.615,702.98,1764.875,1688.9875,2086.075,1949.49625,1166.875,1286.4425,2444.75,1637.75,37.5,54.28
0.9,946.50375,702.855,1764.875,1688.76875,2086.0125,1949.36125,1166.75,1286.2325,2444.5,1637.75,37.52,54.29
1.0,946.3925,702.605,1764.75,1688.55,2085.88625,1949.22625,1166.625,1285.81,2444.25,1637.625,37.52,54.33
1.1,946.16875,702.355,1764.75,1688.44,2085.76,1949.16,1166.625,1285.59875,2444,1637.625,37.53,54.29
1.2,946.0575,702.105,1764.75,1688.22,2085.635,1948.9575,1166.5,1285.38875,2443.75,1637.5,37.5,54.29
1.3,945.94625,701.98,1764.75,1688.00125,2085.5725,1948.89,1166.375,1284.96625,2443.625,1637.375,37.52,54.3
1.4,945.7225,701.73,1764.625,1687.78125,2085.3825,1948.755,1166.375,1284.755,2443.375,1637.25,37.52,54.28
1.5,945.61125,701.48,1764.75,1687.6725,2085.32,1948.62,1166.25,1284.545,2443.125,1637.125,37.53,54.32
1.6,945.3875,701.23,1764.75,1687.4525,2085.19375,1948.48625,1166.125,1284.33375,2443,1637,37.52,54.3
1.7,945.27625,701.105,1764.625,1687.23375,2085.06875,1948.35125,1166.125,1284.1225,2442.75,1636.75,37.52,54.29
1.8,945.165,700.855,1764.625,1687.12375,2084.9425,1948.21625,1166.125,1283.70125,2442.5,1636.75,37.54,54.26
1.9,944.94125,700.73,1764.625,1686.905,2084.81625,1948.08125,1166,1283.49,2442.375,1636.5,37.53,54.25
2.0,944.83,700.48,1764.625,1686.685,2084.75375,1947.9475,1166,1283.27875,2442.125,1636.375,37.52,54.25
2.1,944.71875,700.23,1764.5,1686.575,2084.6275,1947.745,1165.75,1283.0675,2441.875,1636.25,37.52,54.27
2.2,944.495,700.105,1764.5,1686.35625,2084.5025,1947.6775,1165.75,1282.8575,2441.75,1636.125,37.53,54.25
2.3,944.38375,699.855,1764.5,1686.1375,2084.43875,1947.5425,1165.625,1282.64625,2441.625,1636,37.52,54.24
2.4,944.2725,699.605,1764.5,1685.9175,2084.31375,1947.34125,1165.625,1282.22375,2441.375,1635.875,37.52,54.23
2.5,944.16125,699.48,1764.5,1685.8075,2084.1875,1947.27375,1165.625,1282.01375,2441.25,1635.625,37.53,54.21
2.6,943.9375,699.23,1764.5,1685.58875,2084.06125,1947.13875,1165.5,1281.8025,2441,1635.5,37.56,54.25
2.7,943.9375,698.98,1764.5,1685.47875,2083.99875,1947.00375,1165.375,1281.59125,2440.875,1635.25,37.53,54.2
2.8,943.715,698.855,1764.5,1685.26,2083.8725,1946.86875,1165.375,1281.16875,2440.75,1635.125,37.54,54.21
2.9,943.6025,698.60625,1764.5,1685.15,2083.7475,1946.735,1165.375,1280.95875,2440.625,1635,37.53,54.17
3.0,943.38,698.48125,1764.375,1684.93,2083.62125,1946.6,1165.25,1280.53625,2440.5,1634.875,37.53,54.13
3.1,943.26875,698.23125,1764.375,1684.71125,2083.55875,1946.5325,1165.125,1280.325,2440.375,1634.75,37.53,54.13
3.2,943.15625,698.10625,1764.375,1684.60125,2083.4325,1946.3975,1165.125,1280.115,2440.25,1634.625,37.53,54.12
3.3,942.93375,697.98125,1764.375,1684.3825,2083.30625,1946.26375,1165.125,1279.90375,2440.125,1634.375,37.54,54.13
3.4,942.8225,697.73125,1764.375,1684.1625,2083.24375,1946.12875,1165,1279.6925,2440,1634.25,37.53,54.11
3.5,942.71,697.48125,1764.375,1684.05375,2083.1175,1946.06125,1164.875,1279.27125,2439.875,1634.125,37.53,54.07
3.6,942.4875,697.35625,1764.375,1683.83375,2082.99125,1945.99375,1164.875,1279.06,2439.75,1633.875,37.54,54.11
