time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,818.8725,602.37125,1587,1570.88,2016.04,1889.28,1081.125,938.3775,2354.625,1518.375,35.14,50.01
0.1,818.8725,602.49625,1587,1570.98875,2016.1025,1889.28,1081.125,938.3775,2354.375,1518.375,35.16,50
0.2,818.98375,602.62125,1587,1571.09875,2016.1025,1889.2125,1081.125,938.58875,2354.375,1518.375,35.17,50
0.3,819.095,602.62125,1587.125,1571.20875,2016.16625,1889.2125,1081.125,938.58875,2354.25,1518.375,35.16,50.05
0.4,819.095,602.62125,1587,1571.20875,2016.16625,1889.145,1081.125,938.8,2354.125,1518.375,35.14,50.01
0.5,819.20625,602.74625,1587.125,1571.3175,2016.16625,1889.145,1081.125,939.01,2354,1518.375,35.14,49.99
0.6,819.31875,602.87125,1587.125,1571.4275,2016.22875,1889.0775,1081.125,939.01,2353.875,1518.375,35.14,50.04
0.7,819.43,602.87125,1587.125,1571.5375,2016.22875,1889.01,1081.125,939.22125,2353.625,1518.25,35.16,50.04
0.8,819.54125,602.99625,1587.125,1571.5375,2016.22875,1888.9425,1081.125,939.22125,2353.5,1518.25,35.16,50.07
0.9,819.54125,602.99625,1587.25,1571.6475,2016.22875,1888.80875,1081.125,939.22125,2353.25,1518.25,35.17,50.04
1.0,819.6525,603.12125,1587.25,1571.75625,2016.22875,1888.74125,1081.125,939.4325,2353.125,1518.125,35.17,50.02
1.1,819.765,603.12125,1587.25,1571.75625,2016.22875,1888.60625,1081.125,939.64375,2352.875,1518.125,35.16,50.02
1.2,819.765,603.24625,1587.25,1571.86625,2016.22875,1888.53875,1081.125,939.64375,2352.625,1518,35.17,50.05
1.3,819.87625,603.24625,1587.25,1571.97625,2016.22875,1888.40375,1081.125,939.85375,2352.5,1518,35.16,50.02
1.4,819.9875,603.24625,1587.25,1571.97625,2016.16625,1888.27,1081,939.85375,2352.25,1517.875,35.17,50.05
1.5,820.1,603.24625,1587.375,1571.97625,2016.16625,1888.135,1081,940.065,2352.125,1517.75,35.17,50.04
1.6,820.21125,603.37125,1587.375,1572.08625,2016.1025,1888,1081,940.065,2352,1517.75,35.16,50.04
1.7,820.21125,603.37125,1587.375,1572.08625,2016.1025,1887.865,1081,940.065,2351.75,1517.625,35.16,50.02
1.8,820.3225,603.37125,1587.375,1572.08625,2016.04,1887.7975,1081,940.065,2351.625,1517.5,35.17,50.08
1.9,820.3225,603.37125,1587.5,1572.08625,2016.04,1887.59625,1081,940.065,2351.5,1517.375,35.17,50.04
2.0,820.43375,603.37125,1587.375,1572.195,2015.97625,1887.52875,1080.875,940.065,2351.375,1517.25,35.17,50.01
2.1,820.43375,603.37125,1587.5,1572.195,2015.97625,1887.39375,1080.875,940.065,2351.25,1517.125,35.17,49.99
2.2,820.54625,603.37125,1587.5,1572.195,2015.91375,1887.25875,1080.875,940.065,2351.125,1517.125,35.17,49.97
2.3,820.54625,603.37125,1587.5,1572.305,2015.91375,1887.125,1080.875,940.065,2351.125,1517,35.16,49.97
2.4,820.6575,603.37125,1587.5,1572.305,2015.85125,1887.0575,1080.875,940.065,2351,1516.75,35.19,49.96
2.5,820.6575,603.37125,1587.5,1572.305,2015.7875,1886.9225,1080.875,940.065,2350.875,1516.625,35.16,49.96
2.6,820.76875,603.37125,1587.625,1572.415,2015.725,1886.855,1080.875,940.065,2350.875,1516.625,35.19,49.96
2.7,820.76875,603.37125,1587.625,1572.415,2015.725,1886.72,1080.875,940.27625,2350.75,1516.375,35.17,49.94
2.8,820.76875,603.37125,1587.625,1572.415,2015.6625,1886.6525,1080.875,940.27625,2350.75,1516.375,35.19,49.9
2.9,820.88,603.37125,1587.625,1572.415,2015.6625,1886.51875,1080.875,940.27625,2350.625,1516.125,35.17,49.97
3.0,820.88,603.37125,1587.625,1572.415,2015.59875,1886.45125,1080.75,940.27625,2350.5,1516.125,35.19,49.87
3.1,820.99125,603.37125,1587.625,1572.415,2015.53625,1886.38375,1080.75,940.27625,2350.375,1516,35.17,49.91
3.2,820.99125,603.37125,1587.625,1572.525,2015.53625,1886.31625,1080.75,940.27625,2350.375,1515.875,35.16,49.9
3.3,820.99125,603.37125,1587.625,1572.525,2015.53625,1886.18125,1080.75,940.27625,2350.25,1515.75,35.17,49.89
3.4,820.99125,603.37125,1587.625,1572.525,2015.47375,1886.11375,1080.75,940.27625,2350.125,1515.625,35.17,49.87
3.5,821.10375,603.24625,1587.75,1572.525,2015.41,1886.04625,1080.75,940.27625,2350.125,1515.625,35.17,49.84
3.6,821.10375,603.24625,1587.625,1572.63375,2015.41,1885.98,1080.75,940.27625,2350,1515.5,35.17,49.84
3.7,821.10375,603.24625,1587.625,1572.63375,2015.3475,1885.9125,1080.75,940.27625,2350,1515.375,35.19,49.84
3.8,821.10375,603.24625,1587.75,1572.63375,2015.285,1885.845,1080.75,940.27625,2349.875,1515.25,35.2,49.86
3.9,821.215,603.24625,1587.625,1572.63375,2015.285,1885.7775,1080.75,940.4875,2349.875,1515.25,35.17,49.8
4.0,821.215,603.24625,1587.75,1572.63375,2015.22125,1885.71,1080.75,940.27625,2349.75,1515.125,35.17,49.84
4.1,821.215,603.24625,1587.75,1572.63375,2015.15875,1885.6425,1080.75,940.27625,2349.75,1515,35.14,49.8
4.2,821.32625,603.12125,1587.75,1572.63375,2015.15875,1885.575,1080.75,940.27625,2349.75,1515,35.19,49.75
