time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,824.45,652.11375,1563.75,1578.2275,2012.57875,1886.04625,1086.5,1050.18,2380,1552.75,34.46,50.16
0.1,824.5625,651.98875,1563.75,1578.33625,2012.57875,1885.9125,1086.375,1049.97,2379.5,1552.75,34.44,50.17
0.2,824.67375,651.98875,1563.75,1578.33625,2012.57875,1885.71,1086.375,1050.18,2379.125,1552.625,34.45,50.17
0.3,824.785,651.98875,1563.75,1578.44625,2012.57875,1885.575,1086.25,1049.97,2378.625,1552.5,34.49,50.23
0.4,824.785,651.98875,1563.75,1578.44625,2012.57875,1885.37375,1086.125,1049.97,2378.25,1552.5,34.46,50.2
0.5,824.89625,651.98875,1563.75,1578.55625,2012.57875,1885.10375,1086,1049.97,2377.875,1552.375,34.48,50.24
0.6,825.00875,651.98875,1563.75,1578.55625,2012.51625,1884.835,1086,1049.97,2377.5,1552.25,34.46,50.24
0.7,825.00875,651.98875,1563.75,1578.55625,2012.4525,1884.6325,1085.875,1049.97,2377.125,1552,34.46,50.23
0.8,825.00875,651.86375,1563.75,1578.66625,2012.4525,1884.3625,1085.75,1049.97,2376.75,1551.875,34.45,50.24
0.9,825.12,651.86375,1563.75,1578.66625,2012.39,1884.09375,1085.75,1049.75875,2376.25,1551.625,34.49,50.26
1.0,825.23125,651.86375,1563.75,1578.66625,2012.3275,1883.82375,1085.75,1049.97,2376,1551.5,34.48,50.22
1.1,825.23125,651.73875,1563.75,1578.66625,2012.26375,1883.555,1085.625,1049.75875,2375.5,1551.25,34.48,50.26
1.2,825.23125,651.73875,1563.875,1578.775,2012.20125,1883.2175,1085.5,1049.75875,2375.125,1551,34.48,50.26
1.3,825.23125,651.73875,1563.875,1578.66625,2012.13875,1882.94875,1085.375,1049.75875,2374.75,1550.75,34.49,50.21
1.4,825.3425,651.73875,1563.875,1578.775,2012.0125,1882.67875,1085.25,1049.75875,2374.5,1550.5,34.48,50.23
1.5,825.455,651.61375,1563.875,1578.775,2011.95,1882.3425,1085.25,1049.5475,2374.125,1550.25,34.45,50.2
1.6,825.56625,651.61375,1563.875,1578.775,2011.88625,1882.0725,1085.125,1049.33625,2373.75,1550,34.48,50.2
1.7,825.455,651.61375,1563.75,1578.775,2011.82375,1881.80375,1085.125,1049.33625,2373.375,1549.75,34.49,50.19
1.8,825.56625,651.61375,1563.875,1578.775,2011.6975,1881.53375,1085.125,1049.5475,2373.125,1549.375,34.49,50.15
1.9,825.56625,651.48875,1563.75,1578.775,2011.635,1881.1975,1085,1049.5475,2372.75,1549.125,34.48,50.17
2.0,825.6775,651.48875,1563.875,1578.775,2011.50875,1880.995,1084.875,1049.33625,2372.5,1548.875,34.46,50.12
2.1,825.6775,651.36375,1563.875,1578.775,2011.44625,1880.725,1084.875,1049.33625,2372.25,1548.625,34.48,50.12
2.2,825.78875,651.36375,1563.875,1578.775,2011.38375,1880.45625,1084.75,1049.12625,2372,1548.25,34.48,50.12
2.3,825.78875,651.36375,1563.875,1578.775,2011.2575,1880.18625,1084.75,1049.12625,2371.625,1548,34.48,50.09
2.4,825.78875,651.23875,1563.875,1578.775,2011.13125,1879.9175,1084.625,1049.12625,2371.375,1547.75,34.51,50.09
2.5,825.90125,651.23875,1563.875,1578.66625,2011.06875,1879.6475,1084.5,1049.12625,2371.25,1547.5,34.49,50.04
2.6,825.90125,651.23875,1563.875,1578.66625,2010.9425,1879.44625,1084.5,1048.915,2371,1547.125,34.48,50
2.7,825.90125,651.23875,1563.875,1578.66625,2010.88,1879.17625,1084.375,1048.70375,2370.75,1546.875,34.49,50
2.8,825.90125,651.11375,1563.875,1578.66625,2010.8175,1878.97375,1084.375,1048.70375,2370.625,1546.625,34.51,49.91
2.9,825.90125,651.11375,1563.875,1578.66625,2010.69125,1878.705,1084.25,1048.70375,2370.375,1546.375,34.48,49.95
3.0,826.0125,651.11375,1563.875,1578.66625,2010.62875,1878.5025,1084.25,1048.4925,2370.125,1546.125,34.49,49.93
3.1,826.0125,651.11375,1563.875,1578.66625,2010.5025,1878.30125,1084.25,1048.4925,2369.875,1545.875,34.49,49.92
3.2,826.0125,650.98875,1563.875,1578.66625,2010.37625,1878.16625,1084.125,1048.4925,2369.75,1545.625,34.51,49.88
3.3,826.12375,650.98875,1563.875,1578.55625,2010.31375,1877.89625,1084.125,1048.4925,2369.5,1545.375,34.51,49.84
3.4,826.0125,650.98875,1563.875,1578.55625,2010.1875,1877.695,1084,1048.4925,2369.25,1545.125,34.49,49.83
3.5,826.0125,650.86375,1563.875,1578.55625,2010.125,1877.56,1084,1048.4925,2369.125,1544.875,34.48,49.8
3.6,826.0125,650.86375,1563.875,1578.44625,2009.99875,1877.3575,1083.875,1048.4925,2368.875,1544.625,34.51,49.75
3.7,826.12375,650.86375,1563.875,1578.44625,2009.93625,1877.22375,1083.875,1048.4925,2368.75,1544.375,34.51,49.71
3.8,826.12375,650.86375,1563.875,1578.44625,2009.81,1877.02125,1083.875,1048.2825,2368.625,1544.125,34.51,49.73
3.9,826.12375,650.73875,1563.875,1578.44625,2009.7475,1876.88625,1083.75,1048.2825,2368.5,1544,34.51,49.73
4.0,826.12375,650.73875,1563.875,1578.44625,2009.62125,1876.68375,1083.875,1048.2825,2368.375,1543.75,34.51,49.67
4.1,826.12375,650.61375,1563.875,1578.33625,2009.55875,1876.55,1083.75,1048.2825,2368.125,1543.5,34.48,49.64
4.2,826.12375,650.61375,1563.875,1578.33625,2009.4325,1876.415,1083.75,1048.07125,2368,1543.375,34.51,49.61
