time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,854.1275,621.74375,1635.5,1604.43625,2040.39125,1912.7875,1114.25,977.61375,2384.75,1544.5,36.24,51.44
0.1,854.23875,621.61875,1635.5,1604.3275,2040.32875,1912.585,1114.125,977.61375,2384.625,1544.5,36.27,51.45
0.2,854.23875,621.49375,1635.375,1604.3275,2040.2025,1912.3825,1114.125,977.61375,2384.375,1544.375,36.24,51.49
0.3,854.35,621.49375,1635.375,1604.2175,2040.0775,1912.18125,1114.125,977.61375,2384.25,1544.25,36.25,51.45
0.4,854.35,621.36875,1635.25,1604.1075,2040.01375,1911.97875,1114,977.61375,2384,1544.125,36.24,51.4
0.5,854.35,621.24375,1635.125,1604.1075,2039.88875,1911.77625,1114,977.61375,2383.875,1544,36.25,51.43
0.6,854.46125,621.11875,1635.125,1603.99875,2039.825,1911.6425,1113.875,977.61375,2383.75,1543.875,36.25,51.41
0.7,854.46125,620.99375,1635.125,1603.88875,2039.7,1911.44,1113.875,977.4025,2383.625,1543.75,36.27,51.37
0.8,854.46125,620.86875,1635,1603.77875,2039.57375,1911.2375,1113.875,977.4025,2383.5,1543.625,36.25,51.4
0.9,854.46125,620.74375,1634.875,1603.77875,2039.51125,1911.10375,1113.75,977.1925,2383.25,1543.5,36.24,51.39
1.0,854.46125,620.49375,1634.875,1603.66875,2039.385,1910.90125,1113.75,977.1925,2383.125,1543.25,36.25,51.39
1.1,854.35,620.36875,1634.875,1603.45,2039.25875,1910.69875,1113.625,976.98125,2383,1543.125,36.25,51.35
1.2,854.35,620.24375,1634.75,1603.45,2039.19625,1910.565,1113.625,976.98125,2382.875,1543,36.28,51.38
1.3,854.35,619.99375,1634.625,1603.23,2039.07,1910.3625,1113.5,976.98125,2382.75,1542.875,36.27,51.37
1.4,854.35,619.86875,1634.625,1603.12125,2038.94375,1910.2275,1113.5,976.77,2382.5,1542.75,36.25,51.31
1.5,854.23875,619.74375,1634.5,1603.01125,2038.81875,1910.025,1113.375,976.55875,2382.375,1542.625,36.27,51.28
1.6,854.1275,619.49375,1634.5,1602.90125,2038.755,1909.89125,1113.375,976.55875,2382.25,1542.5,36.27,51.34
1.7,854.23875,619.36875,1634.375,1602.7925,2038.5675,1909.82375,1113.25,976.34875,2382.125,1542.25,36.27,51.31
1.8,854.1275,619.24375,1634.375,1602.6825,2038.50375,1909.62125,1113.25,976.1375,2382,1542.25,36.25,51.24
1.9,854.015,618.99375,1634.25,1602.5725,2038.37875,1909.48625,1113.25,975.92625,2381.875,1542,36.27,51.22
2.0,853.90375,618.86875,1634.25,1602.4625,2038.2525,1909.3525,1113.125,975.92625,2381.75,1542,36.27,51.27
2.1,853.90375,618.61875,1634.125,1602.35375,2038.12625,1909.2175,1113.25,975.715,2381.75,1541.875,36.3,51.25
2.2,853.90375,618.49375,1634.125,1602.13375,2038.06375,1909.0825,1113.125,975.505,2381.5,1541.625,36.24,51.26
2.3,853.7925,618.24375,1634,1602.02375,2037.9375,1908.9475,1113,975.29375,2381.5,1541.625,36.27,51.18
2.4,853.68125,618.11875,1634,1601.805,2037.81125,1908.81375,1113,975.29375,2381.375,1541.5,36.28,51.18
2.5,853.68125,617.86875,1634,1601.695,2037.74875,1908.67875,1113,974.66125,2381.125,1541.25,36.27,51.17
2.6,853.56875,617.74375,1634,1601.58625,2037.6225,1908.54375,1112.875,974.66125,2381.125,1541.25,36.27,51.14
2.7,853.4575,617.49375,1633.875,1601.47625,2037.4975,1908.40875,1112.75,974.45,2381,1541.125,36.28,51.17
2.8,853.4575,617.36875,1633.75,1601.36625,2037.43375,1908.34125,1112.875,974.23875,2380.875,1540.875,36.28,51.14
2.9,853.235,617.11875,1633.75,1601.1475,2037.30875,1908.2075,1112.75,974.0275,2380.75,1540.875,36.27,51.14
3.0,853.235,616.99375,1633.75,1601.0375,2037.1825,1908.0725,1112.75,973.8175,2380.625,1540.625,36.25,51.1
3.1,853.1225,616.86875,1633.75,1600.9275,2037.05625,1907.9375,1112.75,973.60625,2380.5,1540.625,36.27,51.11
3.2,853.01125,616.62,1633.625,1600.70875,2036.99375,1907.87,1112.625,973.60625,2380.375,1540.375,36.28,51.12
3.3,853.01125,616.495,1633.625,1600.59875,2036.93125,1907.735,1112.625,973.395,2380.25,1540.25,36.27,51.06
3.4,852.9,616.245,1633.625,1600.48875,2036.805,1907.66875,1112.5,973.18375,2380.125,1540.125,36.27,51.07
3.5,852.78875,616.12,1633.625,1600.38,2036.67875,1907.60125,1112.5,972.97375,2380.125,1540,36.27,51.04
3.6,852.67625,615.87,1633.5,1600.16,2036.61625,1907.46625,1112.375,972.7625,2379.875,1539.875,36.28,51.04
3.7,852.565,615.745,1633.5,1600.05,2036.49,1907.33125,1112.375,972.55125,2379.875,1539.75,36.27,51.04
3.8,852.565,615.62,1633.5,1599.94125,2036.4275,1907.26375,1112.375,972.34,2379.75,1539.625,36.27,51.04
