time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,962.01125,674.36,1763.125,1703.46375,2084.88,1948.28375,1123.625,1290.66125,2515.875,1635.125,36.85,55.35
0.1,962.01125,674.36,1763.125,1703.57375,2084.88,1948.14875,1123.625,1290.66125,2515.75,1635,36.87,55.34
0.2,962.1225,674.36,1763.125,1703.57375,2084.81625,1948.015,1123.625,1290.66125,2515.375,1634.875,36.85,55.35
0.3,962.1225,674.235,1763.25,1703.57375,2084.81625,1947.88,1123.625,1290.8725,2515.25,1634.75,36.86,55.3
0.4,962.1225,674.235,1763.125,1703.57375,2084.75375,1947.745,1123.5,1290.8725,2515,1634.625,36.86,55.32
0.5,962.235,674.11,1763.25,1703.57375,2084.75375,1947.61,1123.5,1290.8725,2514.75,1634.375,36.86,55.35
0.6,962.235,674.11,1763.25,1703.57375,2084.69125,1947.475,1123.5,1290.8725,2514.5,1634.25,36.86,55.27
0.7,962.235,674.11,1763.25,1703.57375,2084.6275,1947.27375,1123.375,1290.8725,2514.25,1634,36.86,55.29
0.8,962.235,673.985,1763.25,1703.57375,2084.565,1947.13875,1123.375,1290.66125,2514.125,1633.875,36.86,55.29
0.9,962.34625,673.86,1763.25,1703.57375,2084.5025,1947.00375,1123.25,1290.66125,2513.875,1633.75,36.86,55.28
1.0,962.34625,673.86,1763.25,1703.57375,2084.5025,1946.86875,1123.375,1290.8725,2513.625,1633.5,36.86,55.28
1.1,962.4575,673.735,1763.25,1703.57375,2084.43875,1946.6675,1123.25,1290.66125,2513.5,1633.25,36.87,55.27
1.2,962.4575,673.735,1763.375,1703.57375,2084.37625,1946.5325,1123.25,1290.66125,2513.25,1633.125,36.87,55.27
1.3,962.4575,673.61,1763.375,1703.57375,2084.31375,1946.3975,1123.25,1290.66125,2513,1633,36.86,55.21
1.4,962.4575,673.485,1763.375,1703.57375,2084.25,1946.19625,1123.125,1290.45125,2512.875,1632.75,36.87,55.21
1.5,962.4575,673.485,1763.375,1703.57375,2084.1875,1946.06125,1123.125,1290.45125,2512.75,1632.625,36.86,55.22
1.6,962.4575,673.36,1763.375,1703.57375,2084.125,1945.92625,1123.125,1290.66125,2512.5,1632.375,36.87,55.16
1.7,962.4575,673.235,1763.375,1703.46375,2084.06125,1945.79125,1123,1290.45125,2512.375,1632.125,36.87,55.17
1.8,962.56875,673.235,1763.375,1703.46375,2083.99875,1945.59,1123,1290.45125,2512.125,1631.875,36.86,55.15
1.9,962.56875,672.985,1763.375,1703.46375,2083.93625,1945.455,1123,1290.45125,2512,1631.75,36.89,55.13
2.0,962.56875,672.985,1763.375,1703.46375,2083.81,1945.32,1122.875,1290.45125,2511.875,1631.5,36.89,55.09
2.1,962.56875,672.985,1763.375,1703.35375,2083.7475,1945.185,1122.875,1290.24,2511.625,1631.375,36.87,55.1
2.2,962.56875,672.86,1763.375,1703.35375,2083.68375,1945.05125,1122.875,1290.24,2511.5,1631.125,36.87,55.05
2.3,962.56875,672.735,1763.5,1703.35375,2083.68375,1944.91625,1122.875,1290.24,2511.375,1631,36.85,55.05
2.4,962.56875,672.735,1763.5,1703.35375,2083.55875,1944.78125,1122.875,1290.24,2511.25,1630.75,36.86,55.04
2.5,962.56875,672.61,1763.5,1703.24375,2083.495,1944.64625,1122.875,1290.24,2511.125,1630.5,36.85,55.01
2.6,962.68125,672.485,1763.5,1703.24375,2083.4325,1944.5125,1122.875,1290.02875,2510.875,1630.375,36.87,54.99
