time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,915.71125,675.735,1741,1659.8175,2067.26,1933.87,1115.375,1142.57625,2465.125,1655.875,37.13,52.64
0.1,915.71125,675.735,1741,1659.8175,2067.1975,1933.735,1115.375,1142.57625,2465,1655.75,37.13,52.61
0.2,915.71125,675.61,1741,1659.8175,2067.1975,1933.6675,1115.25,1142.57625,2464.875,1655.5,37.13,52.6
0.3,915.71125,675.485,1741,1659.8175,2067.135,1933.5325,1115.25,1142.365,2464.75,1655.375,37.14,52.63
0.4,915.71125,675.485,1741,1659.7075,2067.0725,1933.465,1115.25,1142.365,2464.625,1655.25,37.13,52.57
0.5,915.71125,675.36,1741,1659.7075,2067.00875,1933.33125,1115.25,1142.15375,2464.5,1655,37.09,52.58
0.6,915.71125,675.36,1741,1659.7075,2066.94625,1933.19625,1115.25,1142.15375,2464.375,1654.875,37.13,52.55
0.7,915.71125,675.36,1741,1659.59875,2066.94625,1933.12875,1115.125,1141.9425,2464.125,1654.625,37.16,52.58
0.8,915.71125,675.235,1741,1659.7075,2066.88375,1932.99375,1115.125,1141.9425,2464,1654.5,37.14,52.57
0.9,915.71125,675.235,1741,1659.59875,2066.82,1932.92625,1115.125,1141.9425,2463.875,1654.25,37.13,52.56
1.0,915.71125,675.11,1741,1659.59875,2066.7575,1932.85875,1115.125,1141.7325,2463.75,1654.125,37.14,52.49
1.1,915.71125,675.11,1741,1659.48875,2066.695,1932.725,1115,1141.7325,2463.625,1654,37.14,52.49
1.2,915.71125,674.985,1741,1659.48875,2066.695,1932.6575,1115,1141.52125,2463.5,1653.875,37.13,52.5
1.3,915.71125,674.985,1741,1659.48875,2066.63125,1932.5225,1115,1141.52125,2463.375,1653.625,37.14,52.46
1.4,915.71125,674.985,1741,1659.48875,2066.56875,1932.455,1115,1141.52125,2463.25,1653.5,37.16,52.47
1.5,915.71125,674.86,1741,1659.37875,2066.56875,1932.3875,1114.875,1141.31,2463.25,1653.375,37.16,52.42
1.6,915.71125,674.86,1741,1659.48875,2066.4425,1932.25375,1114.875,1141.31,2463.125,1653.25,37.14,52.38
1.7,915.71125,674.735,1741,1659.37875,2066.4425,1932.18625,1114.875,1141.31,2463,1653,37.12,52.4
1.8,915.71125,674.735,1741,1659.37875,2066.38,1932.11875,1114.75,1141.09875,2462.875,1652.875,37.16,52.38
1.9,915.71125,674.61,1741,1659.26875,2066.31625,1931.98375,1114.75,1141.09875,2462.75,1652.75,37.13,52.4
2.0,915.71125,674.61,1741,1659.26875,2066.31625,1931.98375,1114.75,1140.88875,2462.625,1652.625,37.16,52.35
2.1,915.6,674.61,1741,1659.26875,2066.19125,1931.84875,1114.75,1140.88875,2462.625,1652.5,37.14,52.38
2.2,915.6,674.485,1741,1659.16,2066.19125,1931.78125,1114.75,1140.88875,2462.5,1652.5,37.13,52.32
2.3,915.6,674.485,1741,1659.16,2066.1275,1931.78125,1114.625,1140.6775,2462.375,1652.25,37.16,52.35
2.4,915.6,674.485,1741,1659.16,2066.065,1931.64625,1114.75,1140.6775,2462.25,1652.125,37.14,52.31
2.5,915.6,674.36,1740.875,1659.16,2066.0025,1931.58,1114.625,1140.6775,2462.25,1652,37.16,52.27
