time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0.0,854.57375,635.74125,1627.75,1602.5725,2034.09875,1902.75125,1113.125,1067.68875,2423,1616.625,35.94,50.89
0.1,854.57375,635.49125,1627.625,1602.4625,2033.97375,1902.54875,1113.125,1067.47875,2422.875,1616.375,35.92,50.85
0.2,854.46125,635.36625,1627.625,1602.35375,2033.8475,1902.3475,1113,1067.2675,2422.5,1616,35.92,50.85
0.3,854.46125,635.11625,1627.5,1602.24375,2033.65875,1902.145,1113,1067.05625,2422.25,1615.75,35.95,50.82
0.4,854.35,634.99125,1627.5,1602.13375,2033.5325,1901.9425,1112.875,1066.845,2422,1615.5,35.95,50.76
0.5,854.35,634.86625,1627.5,1602.02375,2033.4075,1901.67375,1112.75,1066.635,2421.75,1615.25,35.94,50.75
0.6,854.23875,634.61625,1627.5,1601.805,2033.28125,1901.47125,1112.75,1066.42375,2421.5,1615,35.98,50.75
0.7,854.1275,634.49125,1627.375,1601.695,2033.0925,1901.26875,1112.625,1066.2125,2421.375,1614.75,35.94,50.72
0.8,854.1275,634.36625,1627.375,1601.47625,2032.96625,1901.0675,1112.625,1066.00125,2421.125,1614.375,35.97,50.71
0.9,854.015,634.24125,1627.375,1601.36625,2032.84125,1900.9325,1112.5,1065.79125,2420.875,1614.125,35.97,50.67
1.0,853.90375,634.11625,1627.25,1601.25625,2032.715,1900.73,1112.375,1065.58,2420.625,1613.875,35.97,50.64
1.1,853.90375,633.86625,1627.25,1601.1475,2032.52625,1900.52875,1112.375,1065.36875,2420.375,1613.75,35.95,50.57
1.2,853.7925,633.86625,1627.25,1600.9275,2032.4,1900.32625,1112.375,1064.94625,2420.25,1613.375,35.97,50.58
1.3,853.7925,633.61625,1627.25,1600.8175,2032.275,1900.12375,1112.25,1064.73625,2420,1613.125,35.95,50.59
1.4,853.68125,633.49125,1627.125,1600.70875,2032.14875,1899.99,1112.25,1064.525,2419.75,1613,35.97,50.52
1.5,853.56875,633.24125,1627.125,1600.59875,2032.0225,1899.7875,1112.125,1064.31375,2419.5,1612.625,35.95,50.51
1.6,853.56875,633.24125,1627.125,1600.38,2031.89625,1899.6525,1112,1063.8925,2419.375,1612.5,35.98,50.51
1.7,853.4575,632.99125,1627.125,1600.27,2031.77125,1899.5175,1112,1063.68125,2419.125,1612.25,35.95,50.5
1.8,853.34625,632.86625,1627,1600.05,2031.645,1899.31625,1111.875,1063.47,2418.875,1612,35.98,50.46
1.9,853.235,632.74125,1627,1599.94125,2031.51875,1899.11375,1111.875,1063.25875,2418.75,1611.75,35.98,50.42
