iter	Passed	Remaining
414	2947	4154
415	2953	4146
416	2960	4138
417	2967	4132
418	2974	4124
419	2981	4117
420	2989	4111
421	2997	4105
422	3004	4098
423	3010	4089
424	3017	4083
425	3024	4074
426	3030	4067
427	3037	4059
428	3043	4050
429	3050	4043
430	3056	4035
431	3063	4027
432	3070	4020
433	3076	4012
434	3084	4006
435	3088	3995
436	3097	3990
437	3104	3983
438	3114	3980
439	3122	3973
440	3128	3966
441	3135	3958
442	3142	3951
443	3150	3945
444	3156	3936
445	3162	3928
446	3170	3921
447	3177	3915
448	3184	3907
449	3191	3900
450	3199	3894
451	3203	3884
452	3210	3877
453	3217	3869
454	3224	3862
455	3231	3854
456	3239	3849
457	3246	3841
458	3253	3834
459	3260	3827
460	3267	3820
461	3272	3810
462	3280	3804
463	3286	3796
464	3291	3787
465	3298	3779
466	3303	3770
467	3309	3762
468	3315	3754
469	3323	3748
470	3330	3741
471	3337	3733
472	3342	3724
473	3348	3716
474	3356	3709
475	3363	3702
476	3369	3694
477	3375	3686
478	3381	3678
479	3388	3670
480	3394	3663
481	3402	3656
482	3407	3647
483	3414	3640
484	3421	3632
485	3428	3625
486	3435	3618
487	3442	3611
488	3449	3604
489	3456	3597
490	3463	3590
491	3470	3583
492	3476	3575
493	3482	3566
494	3489	3559
495	3495	3551
496	3501	3544
497	3508	3536
498	3514	3528
499	3520	3520
500	3527	3513
501	3536	3508
502	3546	3504
503	3553	3497
504	3559	3489
505	3567	3482
506	3573	3474
507	3577	3465
508	3583	3457
509	3589	3448
510	3597	3442
511	3602	3433
512	3608	3425
513	3616	3419
514	3618	3407
515	3625	3400
516	3632	3393
517	3640	3387
518	3646	3379
519	3653	3372
520	3658	3363
521	3665	3356
522	3672	3349
523	3677	3340
524	3683	3332
525	3688	3323
526	3695	3316
527	3701	3308
528	3707	3301
529	3713	3293
530	3721	3286
531	3728	3280
532	3735	3272
533	3742	3265
534	3749	3259
535	3756	3252
536	3763	3245
537	3771	3238
538	3778	3232
539	3783	3223
540	3791	3216
541	3798	3209
542	3805	3202
543	3813	3196
544	3821	3190
545	3828	3183
546	3836	3177
547	3842	3169
548	3849	3162
549	3856	3155
550	3863	3148
551	3869	3140
552	3875	3133
553	3883	3126
554	3890	3119
555	3900	3115
556	3906	3107
557	3914	3100
558	3921	3093
559	3926	3085
560	3934	3078
561	3940	3070
562	3945	3062
563	3953	3056
564	3959	3048
565	3967	3042
566	3974	3035
567	3982	3028
568	3989	3021
569	3996	3014
570	4002	3007
571	4010	3000
572	4017	2993
573	4023	2985
574	4031	2979
575	4037	2971
576	4044	2965
577	4050	2957
578	4057	2950
579	4064	2942
580	4071	2936
581	4074	2926
582	4081	2919
583	4087	2911
584	4093	2904
585	4100	2897
586	4108	2890
587	4115	2883
588	4121	2875
589	4128	2869
590	4136	2862
591	4143	2855
592	4149	2848
593	4157	2841
594	4164	2834
595	4171	2827
596	4177	2820
597	4184	2813
598	4191	2806
599	4198	2799
600	4207	2793
601	4213	2785
602	4221	2779
603	4227	2771
604	4235	2765
605	4238	2755
606	4244	2748
607	4253	2742
608	4259	2734
609	4265	2726
610	4272	2720
611	4278	2712
612	4286	2706
613	4293	2699
614	4300	2692
615	4307	2685
616	4314	2678
617	4320	2670
618	4327	2663
619	4332	2655
620	4338	2648
621	4344	2640
622	4351	2633
623	4359	2626
624	4366	2619
625	4372	2612
626	4378	2604
627	4385	2597
628	4391	2590
629	4397	2582
630	4405	2576
631	4411	2568
632	4419	2562
633	4426	2555
634	4432	2547
635	4438	2540
636	4445	2533
637	4452	2526
638	4458	2518
639	4465	2511
640	4471	2504
641	4477	2496
642	4485	2490
643	4491	2483
644	4497	2475
645	4503	2467
646	4508	2459
647	4514	2452
648	4520	2445
649	4524	2436
650	4531	2429
651	4538	2422
652	4544	2415
653	4551	2408
654	4558	2401
655	4566	2394
656	4574	2388
657	4581	2381
658	4588	2374
659	4594	2366
660	4602	2360
661	4610	2353
662	4615	2346
663	4621	2338
664	4625	2330
665	4631	2322
666	4638	2315
667	4645	2308
668	4651	2301
669	4658	2294
670	4664	2286
671	4672	2280
672	4678	2273
673	4685	2266
674	4691	2258
675	4696	2251
676	4703	2243
677	4710	2236
678	4715	2229
679	4722	2222
680	4730	2215
681	4737	2209
682	4745	2202
683	4753	2196
684	4760	2188
685	4766	2181
686	4773	2174
687	4781	2168
688	4788	2161
689	4793	2153
690	4801	2147
691	4804	2138
692	4810	2131
693	4817	2124
694	4821	2116
695	4829	2109
696	4836	2102
697	4843	2095
698	4850	2088
699	4859	2082
700	4866	2075
701	4871	2068
702	4880	2061
703	4887	2054
704	4893	2047
705	4901	2040
706	4907	2033
707	4914	2026
708	4920	2019
709	4927	2012
710	4932	2004
711	4938	1997
712	4946	1991
713	4952	1983
714	4957	1976
715	4964	1969
716	4970	1961
717	4977	1954
718	4983	1947
719	4990	1940
720	4995	1933
721	4999	1924
722	5005	1917
723	5012	1910
724	5019	1903
725	5025	1896
726	5032	1889
727	5040	1883
728	5047	1876
729	5054	1869
730	5062	1862
731	5067	1855
732	5071	1847
733	5077	1840
734	5083	1832
735	5090	1826
736	5096	1818
737	5103	1811
738	5107	1803
739	5113	1796
740	5120	1789
741	5127	1782
742	5133	1775
743	5140	1768
744	5148	1762
745	5155	1755
746	5162	1748
747	5170	1741
748	5175	1734
749	5182	1727
750	5190	1720
751	5195	1713
752	5203	1706
753	5210	1699
754	5218	1693
755	5225	1686
756	5231	1679
757	5238	1672
758	5245	1665
759	5253	1659
760	5262	1652
761	5268	1645
762	5276	1638
763	5283	1631
764	5290	1625
765	5295	1617
766	5306	1611
767	5310	1604
768	5316	1597
769	5323	1590
770	5330	1583
771	5337	1576
772	5341	1568
773	5348	1561
774	5356	1555
775	5362	1548
776	5371	1541
777	5378	1534
778	5385	1527
779	5391	1520
780	5399	1514
781	5408	1507
782	5415	1500
783	5421	1493
784	5429	1487
785	5435	1479
786	5443	1473
787	5448	1465
788	5456	1459
789	5463	1452
790	5469	1445
791	5477	1438
792	5484	1431
793	5491	1424
794	5498	1417
795	5506	1411
796	5511	1403
797	5519	1397
798	5527	1390
799	5534	1383
800	5541	1376
801	5549	1370
802	5557	1363
803	5568	1357
804	5575	1350
805	5582	1343
806	5587	1336
807	5597	1329
808	5604	1323
809	5613	1316
810	5620	1309
811	5628	1303
812	5632	1295
813	5640	1288
814	5648	1282
815	5654	1275
816	5663	1268
817	5671	1261
818	5677	1254
819	5682	1247
820	5690	1240
821	5696	1233
822	5703	1226
823	5711	1219
824	5719	1213
825	5726	1206
826	5734	1199
827	5741	1192
828	5747	1185
829	5753	1178
830	5760	1171
831	5767	1164
832	5776	1158
833	5782	1150
834	5788	1143
835	5795	1136
836	5801	1129
837	5807	1122
838	5812	1115
839	5819	1108
840	5827	1101
841	5835	1095
842	5841	1087
843	5849	1081
844	5856	1074
845	5864	1067
846	5869	1060
847	5875	1053
848	5883	1046
849	5890	1039
850	5895	1032
851	5902	1025
852	5909	1018
853	5915	1011
854	5922	1004
855	5929	997
856	5935	990
857	5943	983
858	5950	976
859	5955	969
860	5962	962
861	5970	955
862	5978	949
863	5984	941
864	5991	935
865	5998	928
866	6004	921
867	6011	914
868	6018	907
869	6026	900
870	6033	893
871	6039	886
872	6045	879
873	6052	872
874	6056	865
875	6063	858
876	6070	851
877	6077	844
878	6084	837
879	6090	830
880	6096	823
881	6103	816
882	6109	809
883	6117	802
884	6124	795
885	6132	789
886	6139	782
887	6146	775
888	6153	768
889	6158	761
890	6165	754
891	6172	747
892	6179	740
893	6186	733
894	6191	726
895	6199	719
896	6205	712
897	6212	705
898	6219	698
899	6226	691
900	6233	684
901	6240	677
902	6246	671
903	6253	664
904	6260	657
905	6268	650
906	6274	643
907	6281	636
908	6287	629
909	6294	622
910	6300	615
911	6307	608
912	6312	601
913	6318	594
914	6325	587
915	6331	580
916	6336	573
917	6343	566
918	6349	559
919	6357	552
920	6364	545
921	6370	538
922	6376	531
923	6384	525
924	6391	518
925	6398	511
926	6405	504
927	6413	497
928	6418	490
929	6424	483
930	6430	476
931	6438	469
932	6445	462
933	6452	455
934	6459	449
935	6466	442
936	6474	435
937	6480	428
938	6487	421
939	6493	414
940	6500	407
941	6509	400
942	6515	393
943	6521	386
944	6529	380
945	6537	373
946	6543	366
947	6550	359
948	6557	352
949	6562	345
950	6569	338
951	6576	331
952	6583	324
953	6590	317
954	6597	310
955	6605	303
956	6610	297
957	6617	290
958	6624	283
959	6631	276
960	6637	269
961	6644	262
962	6651	255
963	6656	248
964	6665	241
965	6671	234
966	6673	227
967	6680	220
968	6687	213
969	6695	207
970	6701	200
971	6706	193
972	6712	186
973	6719	179
974	6726	172
