iter	MultiClass
0	1.577848958
1	1.527534542
2	1.478724837
3	1.441110258
4	1.403260738
5	1.371253758
6	1.327862452
7	1.297521359
8	1.270400726
9	1.231907736
10	1.202329206
11	1.170552383
12	1.137072672
13	1.103622132
14	1.079613126
15	1.057483377
16	1.035902197
17	1.010325715
18	0.9898194398
19	0.9674184625
20	0.9478764826
21	0.9292197569
22	0.9086441619
23	0.8905002226
24	0.8721037922
25	0.8540009815
26	0.8361620908
27	0.8144950475
28	0.8008230879
29	0.7880516347
30	0.7689644045
31	0.7503993307
32	0.7348929587
33	0.724219366
34	0.710127254
35	0.70040239
36	0.6854202994
37	0.6726430124
38	0.6600923401
39	0.6509368192
40	0.636379689
41	0.6276396069
42	0.6174565307
43	0.610126606
44	0.598194226
45	0.5912292077
46	0.5809211907
47	0.5735129586
48	0.5652333617
49	0.5575688659
50	0.5510091255
51	0.5441787971
52	0.5387685841
53	0.5300342785
54	0.5211346526
55	0.5139949656
56	0.5061896965
57	0.4984259814
58	0.4928528009
59	0.4861126914
60	0.4818300101
61	0.4753251004
62	0.4700118306
63	0.4631598479
64	0.4567880011
65	0.451610059
66	0.444464412
67	0.4362862062
68	0.4299790322
69	0.4253878053
70	0.4184027373
71	0.4159448633
72	0.4093087682
73	0.4036058009
74	0.3996481869
75	0.3949943972
76	0.3887291016
77	0.3830812345
78	0.3771438854
79	0.3710655004
80	0.3635367157
81	0.3578463658
82	0.3533240078
83	0.3488927054
84	0.3443639129
85	0.3409055971
86	0.3370050711
87	0.3329692855
88	0.3282475397
89	0.3233559911
90	0.3194373159
91	0.3162486996
92	0.3127863554
93	0.3092072239
94	0.3050246647
95	0.3021644116
96	0.2983190373
97	0.2938286941
98	0.2901302643
99	0.2866952619
100	0.2826712107
101	0.2789185054
102	0.2755013856
103	0.2715949232
104	0.2688209391
105	0.2665506648
106	0.2635485398
107	0.2605356407
108	0.2565911652
109	0.2531847161
110	0.2493867659
111	0.2470425873
112	0.2444637632
113	0.2427570463
114	0.2399029684
115	0.2374799202
116	0.2357749152
117	0.2336880277
118	0.2310482804
119	0.2285353579
120	0.2272114396
121	0.2248477331
122	0.2219654961
