time(s),S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Temp,Humid
0,913.48,654.3625,1670,1659.7075,2026.8625,1886.9225,1041.5,1082.455,2473,1599.875,34.9,49.23
0.1,913.48,654.3625,1670,1659.8175,2026.8,1886.855,1041.5,1082.455,2472.875,1599.75,34.92,49.22
0.2,913.48,654.3625,1670,1659.7075,2026.7375,1886.7875,1041.375,1082.455,2472.875,1599.75,34.95,49.23
0.3,913.48,654.4875,1670,1659.59875,2026.67375,1886.7875,1041.375,1082.455,2472.875,1599.5,34.93,49.19
0.4,913.36875,654.4875,1670,1659.59875,2026.67375,1886.72,1041.375,1082.455,2472.875,1599.375,34.93,49.16
0.5,913.36875,654.4875,1670,1659.59875,2026.61125,1886.6525,1041.375,1082.455,2472.75,1599.375,34.95,49.18
0.6,913.36875,654.6125,1670,1659.48875,2026.54875,1886.58625,1041.375,1082.455,2472.75,1599.25,34.93,49.14
0.7,913.36875,654.6125,1670,1659.48875,2026.485,1886.58625,1041.375,1082.455,2472.75,1599.25,34.93,49.13
0.8,913.36875,654.6125,1670,1659.48875,2026.4225,1886.58625,1041.375,1082.66625,2472.75,1599.125,34.96,49.14
0.9,913.36875,654.7375,1670,1659.37875,2026.35875,1886.51875,1041.375,1082.66625,2472.625,1599.125,34.92,49.12
1,913.36875,654.7375,1670,1659.37875,2026.29625,1886.51875,1041.375,1082.66625,2472.625,1599.125,34.93,49.09
1.1,913.2575,654.7375,1669.875,1659.37875,2026.23375,1886.45125,1041.375,1082.455,2472.625,1599,34.95,49.11
1.2,913.2575,654.8625,1670,1659.26875,2026.23375,1886.45125,1041.375,1082.66625,2472.5,1598.875,34.93,49.07
1.3,913.2575,654.8625,1669.875,1659.26875,2026.17125,1886.38375,1041.375,1082.66625,2472.5,1598.875,34.93,49.03
1.4,913.2575,654.8625,1670,1659.16,2026.1075,1886.38375,1041.375,1082.66625,2472.5,1598.875,34.93,49.05
1.5,913.2575,654.8625,1669.875,1659.16,2026.1075,1886.38375,1041.375,1082.66625,2472.375,1598.75,34.93,49.02
1.6,913.2575,654.8625,1670,1659.16,2026.045,1886.31625,1041.375,1082.66625,2472.375,1598.75,34.95,49.02
1.7,913.2575,654.9875,1669.875,1659.05,2025.9825,1886.31625,1041.375,1082.66625,2472.375,1598.75,34.93,49
1.8,913.2575,654.9875,1669.875,1659.05,2025.91875,1886.31625,1041.375,1082.66625,2472.25,1598.625,34.95,49.02
1.9,913.145,654.9875,1669.875,1659.05,2025.85625,1886.24875,1041.375,1082.66625,2472.25,1598.625,34.95,48.98
2,913.145,654.9875,1669.875,1658.94,2025.85625,1886.24875,1041.375,1082.66625,2472.25,1598.625,34.95,48.94
2.1,913.145,655.1125,1669.875,1658.94,2025.7925,1886.18125,1041.375,1082.66625,2472.25,1598.5,34.93,48.99
2.2,913.145,654.9875,1669.875,1658.94,2025.73,1886.18125,1041.25,1082.66625,2472.125,1598.5,34.95,48.94
2.3,913.145,655.1125,1669.875,1658.83,2025.73,1886.11375,1041.375,1082.66625,2472.125,1598.5,34.95,48.94
2.4,913.03375,655.1125,1669.875,1658.83,2025.6675,1886.11375,1041.375,1082.66625,2472,1598.5,34.96,48.98
2.5,913.03375,655.1125,1669.875,1658.83,2025.60375,1886.11375,1041.375,1082.66625,2471.875,1598.5,34.98,48.97
2.6,913.03375,655.1125,1669.875,1658.83,2025.54125,1886.04625,1041.25,1082.66625,2471.875,1598.375,34.93,48.9
2.7,913.03375,655.1125,1669.875,1658.72125,2025.54125,1886.04625,1041.25,1082.66625,2471.75,1598.375,34.95,48.93
2.8,912.9225,655.2375,1669.875,1658.61125,2025.47875,1885.98,1041.25,1082.66625,2471.625,1598.375,34.95,48.9
2.9,913.03375,655.2375,1669.875,1658.61125,2025.415,1885.98,1041.25,1082.66625,2471.5,1598.25,34.93,48.88
3,912.9225,655.2375,1669.875,1658.61125,2025.3525,1885.9125,1041.25,1082.66625,2471.375,1598.125,34.95,48.89
3.1,912.9225,655.2375,1669.75,1658.61125,2025.3525,1885.9125,1041.25,1082.66625,2471.125,1598,34.96,48.84
3.2,912.9225,655.3625,1669.875,1658.50125,2025.29,1885.9125,1041.375,1082.66625,2471,1597.875,34.95,48.84
3.3,912.9225,655.2375,1669.75,1658.50125,2025.22625,1885.845,1041.25,1082.66625,2470.75,1597.75,34.95,48.85
3.4,912.9225,655.3625,1669.75,1658.39125,2025.22625,1885.845,1041.375,1082.66625,2470.5,1597.5,34.96,48.84
3.5,912.9225,655.3625,1669.75,1658.39125,2025.16375,1885.7775,1041.25,1082.66625,2470.375,1597.375,34.95,48.86
3.6,912.9225,655.3625,1669.75,1658.39125,2025.10125,1885.7775,1041.25,1082.66625,2470.125,1597.25,34.95,48.85
3.7,912.9225,655.3625,1669.75,1658.2825,2025.0375,1885.71,1041.25,1082.66625,2469.875,1597.125,34.98,48.85
3.8,912.81125,655.3625,1669.625,1658.2825,2024.975,1885.6425,1041.375,1082.455,2469.625,1597,34.95,48.85
3.9,912.9225,655.3625,1669.75,1658.1725,2024.9125,1885.575,1041.25,1082.455,2469.5,1596.75,34.95,48.78
4,912.81125,655.3625,1669.625,1658.1725,2024.9125,1885.5075,1041.25,1082.455,2469.25,1596.625,34.93,48.78
4.1,912.81125,655.3625,1669.625,1658.0625,2024.84875,1885.44125,1041.25,1082.455,2469.125,1596.5,34.95,48.78
4.2,912.81125,655.3625,1669.625,1658.0625,2024.72375,1885.37375,1041.25,1082.455,2468.875,1596.25,34.93,48.81
4.3,912.81125,655.4875,1669.625,1657.9525,2024.72375,1885.30625,1041.25,1082.455,2468.625,1596.125,34.96,48.74
4.4,912.81125,655.4875,1669.625,1657.9525,2024.66,1885.23875,1041.25,1082.245,2468.375,1595.875,34.96,48.73
4.5,912.69875,655.4875,1669.625,1657.84375,2024.5975,1885.23875,1041.125,1082.245,2468.25,1595.75,34.96,48.78
4.6,912.69875,655.4875,1669.625,1657.84375,2024.535,1885.10375,1041.125,1082.245,2468.125,1595.5,34.96,48.78
4.7,912.69875,655.4875,1669.625,1657.73375,2024.47125,1885.03625,1041.125,1082.245,2467.875,1595.375,34.95,48.77
4.8,912.5875,655.4875,1669.625,1657.73375,2024.40875,1884.90125,1041.125,1082.245,2467.625,1595.25,34.95,48.76
4.9,912.5875,655.4875,1669.625,1657.62375,2024.34625,1884.7675,1041.125,1082.03375,2467.5,1595,34.93,48.73
5,912.5875,655.4875,1669.625,1657.62375,2024.2825,1884.7675,1041.125,1082.03375,2467.25,1594.875,34.99,48.7
5.1,912.5875,655.4875,1669.625,1657.515,2024.22,1884.7,1041.125,1082.03375,2467.125,1594.625,34.95,48.7
5.2,912.47625,655.3625,1669.625,1657.515,2024.09375,1884.565,1041,1082.03375,2467,1594.5,34.95,48.7
5.3,912.47625,655.4875,1669.625,1657.405,2024.09375,1884.4975,1041,1081.8225,2466.75,1594.375,34.96,48.67
5.4,912.47625,655.3625,1669.625,1657.405,2024.03125,1884.3625,1041,1081.8225,2466.625,1594.125,34.98,48.67
5.5,912.365,655.3625,1669.5,1657.295,2023.96875,1884.29625,1041,1081.8225,2466.5,1593.875,34.98,48.7
5.6,912.365,655.3625,1669.625,1657.185,2023.8425,1884.22875,1040.875,1081.8225,2466.25,1593.75,34.96,48.61
5.7,912.2525,655.3625,1669.5,1657.185,2023.78,1884.16125,1040.875,1081.61125,2466.125,1593.625,34.98,48.65
5.8,912.365,655.3625,1669.5,1657.07625,2023.71625,1884.02625,1040.875,1081.61125,2466,1593.375,34.98,48.65
5.9,912.2525,655.2375,1669.5,1657.07625,2023.65375,1883.95875,1040.875,1081.61125,2465.875,1593.25,34.96,48.61
6,912.2525,655.3625,1669.5,1657.07625,2023.59125,1883.89125,1040.875,1081.61125,2465.625,1593,34.96,48.63
6.1,912.2525,655.2375,1669.5,1656.96625,2023.5275,1883.82375,1040.875,1081.40125,2465.5,1592.875,34.96,48.64
6.2,912.14125,655.2375,1669.5,1656.85625,2023.465,1883.75625,1040.75,1081.40125,2465.375,1592.75,34.95,48.59
6.3,912.14125,655.2375,1669.5,1656.85625,2023.33875,1883.6225,1040.75,1081.40125,2465.25,1592.625,34.96,48.6
6.4,912.03,655.1125,1669.375,1656.74625,2023.33875,1883.555,1040.75,1081.40125,2465.125,1592.375,34.96,48.56
6.5,912.03,655.2375,1669.5,1656.74625,2023.2125,1883.4875,1040.75,1081.19,2465,1592.25,34.95,48.56
6.6,912.03,655.1125,1669.375,1656.6375,2023.15,1883.42,1040.75,1081.19,2464.875,1592,34.96,48.54
6.7,911.91875,655.1125,1669.375,1656.5275,2023.0875,1883.3525,1040.625,1081.19,2464.75,1591.875,34.95,48.56
6.8,911.91875,655.1125,1669.375,1656.5275,2023.025,1883.285,1040.625,1080.97875,2464.625,1591.625,34.99,48.54
6.9,911.91875,655.1125,1669.375,1656.4175,2022.96125,1883.15,1040.625,1080.97875,2464.5,1591.625,34.98,48.55
7,911.80625,655.1125,1669.375,1656.3075,2022.89875,1883.08375,1040.625,1080.7675,2464.375,1591.375,34.95,48.51
7.1,911.80625,655.1125,1669.375,1656.3075,2022.83625,1883.01625,1040.625,1080.7675,2464.25,1591.375,34.96,48.48
7.2,911.695,655.1125,1669.375,1656.19875,2022.7725,1882.94875,1040.625,1080.7675,2464.25,1591.25,34.98,48.46
7.3,911.695,654.9875,1669.375,1656.19875,2022.71,1882.88125,1040.625,1080.7675,2464.125,1591.125,34.98,48.53
7.4,911.58375,654.9875,1669.375,1656.08875,2022.64625,1882.88125,1040.625,1080.7675,2464,1591,34.96,48.48
7.5,911.58375,654.9875,1669.375,1656.08875,2022.52125,1882.81375,1040.5,1080.5575,2463.875,1590.875,34.95,48.43
7.6,911.58375,654.8625,1669.375,1655.97875,2022.52125,1882.74625,1040.5,1080.5575,2463.875,1590.625,34.98,48.42
7.7,911.4725,654.8625,1669.375,1655.97875,2022.395,1882.67875,1040.5,1080.5575,2463.75,1590.5,34.98,48.41
7.8,911.4725,654.8625,1669.375,1655.86875,2022.395,1882.61125,1040.5,1080.34625,2463.625,1590.375,34.96,48.41
7.9,911.36,654.8625,1669.375,1655.76,2022.3325,1882.545,1040.5,1080.34625,2463.625,1590.25,34.95,48.39
8,911.36,654.7375,1669.25,1655.76,2022.26875,1882.4775,1040.5,1080.34625,2463.5,1590.125,34.98,48.39
8.1,911.24875,654.7375,1669.25,1655.65,2022.20625,1882.4775,1040.5,1080.135,2463.375,1590,34.96,48.37
8.2,911.24875,654.7375,1669.25,1655.54,2022.14375,1882.41,1040.5,1080.135,2463.375,1589.875,34.96,48.37
8.3,911.1375,654.7375,1669.375,1655.54,2022.08,1882.3425,1040.375,1080.135,2463.25,1589.75,34.96,48.33
8.4,911.1375,654.7375,1669.25,1655.54,2022.0175,1882.3425,1040.5,1079.92375,2463.125,1589.625,35,48.33
8.5,911.1375,654.7375,1669.25,1655.43125,2021.955,1882.275,1040.375,1079.92375,2463,1589.625,34.96,48.36
8.6,911.02625,654.6125,1669.25,1655.43125,2021.89125,1882.2075,1040.375,1079.71375,2463,1589.5,34.95,48.39
8.7,911.02625,654.6125,1669.125,1655.32125,2021.82875,1882.2075,1040.375,1079.71375,2462.875,1589.375,34.96,48.31
8.8,910.91375,654.7375,1669.25,1655.21125,2021.76625,1882.14,1040.375,1079.71375,2462.75,1589.25,34.95,48.3
8.9,910.91375,654.6125,1669.25,1655.21125,2021.7025,1882.0725,1040.375,1079.71375,2462.625,1589.125,34.96,48.26
9,910.8025,654.6125,1669.25,1655.10125,2021.64,1882.005,1040.375,1079.71375,2462.625,1589,34.96,48.29
9.1,910.8025,654.6125,1669.125,1655.10125,2021.5775,1882.005,1040.375,1079.5025,2462.5,1588.875,34.98,48.28
9.2,910.69125,654.4875,1669.125,1654.9925,2021.51375,1881.93875,1040.375,1079.5025,2462.5,1588.75,34.98,48.24
9.3,910.69125,654.4875,1669.125,1654.9925,2021.45125,1881.93875,1040.25,1079.29125,2462.25,1588.625,34.96,48.26
9.4,910.58,654.4875,1669.125,1654.8825,2021.38875,1881.87125,1040.25,1079.29125,2462.25,1588.5,34.99,48.27
9.5,910.58,654.4875,1669.125,1654.8825,2021.325,1881.87125,1040.25,1079.08,2462.125,1588.375,34.95,48.21
9.6,910.4675,654.4875,1669.125,1654.7725,2021.2625,1881.80375,1040.25,1079.29125,2462,1588.25,34.95,48.17
9.7,910.4675,654.3625,1669.125,1654.6625,2021.2625,1881.73625,1040.25,1079.08,2461.875,1588.125,34.95,48.21
9.8,910.4675,654.4875,1669.125,1654.55375,2021.2,1881.73625,1040.25,1078.86875,2461.75,1588.125,34.96,48.21
9.9,910.35625,654.3625,1669.125,1654.55375,2021.13625,1881.66875,1040.25,1078.65875,2461.75,1588,34.95,48.21
10,910.35625,654.3625,1669,1654.44375,2021.07375,1881.60125,1040.25,1078.65875,2461.625,1587.875,34.98,48.2
10.1,910.245,654.2375,1669.125,1654.44375,2021.01125,1881.60125,1040.125,1078.65875,2461.5,1587.75,34.98,48.19
10.2,910.245,654.2375,1669,1654.33375,2020.9475,1881.53375,1040.125,1078.65875,2461.5,1587.75,34.96,48.2
10.3,910.13375,654.2375,1669,1654.225,2020.885,1881.46625,1040.125,1078.4475,2461.5,1587.75,34.98,48.19
10.4,910.02125,654.2375,1669,1654.225,2020.885,1881.39875,1040.125,1078.4475,2461.875,1587.75,34.96,48.15
10.5,910.02125,654.2375,1669,1654.225,2020.75875,1881.39875,1040,1078.23625,2462.75,1587.75,34.95,48.2
10.6,910.02125,654.1125,1669,1654.225,2020.69625,1881.46625,1040,1078.23625,2463.875,1587.75,34.96,48.17
10.7,909.91,654.2375,1669,1654.115,2020.69625,1881.53375,1040,1078.025,2465,1587.75,34.95,48.13
10.8,909.79875,654.3625,1669,1654.115,2020.69625,1881.73625,1040,1078.025,2466.125,1587.75,34.96,48.13
10.9,909.79875,654.4875,1669,1654.115,2020.69625,1881.93875,1040.125,1078.025,2467.125,1587.75,34.98,48.13
11,909.6875,654.7375,1669,1654.115,2020.75875,1882.14,1040.125,1078.23625,2468.125,1587.875,34.98,48.12
11.1,909.575,655.2375,1669,1654.225,2020.8225,1882.4775,1040.375,1078.23625,2469,1587.875,34.98,48.07
11.2,909.575,655.8625,1668.875,1654.225,2020.9475,1882.81375,1040.5,1078.4475,2469.875,1588,34.99,48.11
11.3,909.46375,656.6125,1669,1654.33375,2021.07375,1883.2175,1040.625,1078.65875,2470.75,1588.25,34.96,48.09
11.4,909.46375,657.6125,1669,1654.44375,2021.2625,1883.6225,1040.75,1078.86875,2471.5,1588.5,34.98,48.1
11.5,909.3525,658.8625,1668.875,1654.44375,2021.51375,1884.09375,1041,1079.29125,2472.25,1588.75,34.98,48.1
11.6,909.24125,660.2375,1668.875,1654.7725,2021.76625,1884.565,1041.125,1079.71375,2473.125,1589.25,34.96,48.11
11.7,909.12875,661.86125,1668.875,1654.8825,2022.08,1885.10375,1041.25,1080.135,2473.875,1589.75,34.98,48.08
11.8,909.12875,663.86125,1668.875,1655.10125,2022.395,1885.71,1041.5,1080.5575,2474.625,1590.25,34.98,48.11
11.9,909.12875,665.86125,1668.875,1655.32125,2022.71,1886.31625,1041.625,1081.19,2475.625,1590.875,35,48.1
12,909.12875,668.11125,1668.875,1655.65,2023.15,1887.0575,1041.75,1082.03375,2476.5,1591.5,34.99,48.12
12.1,909.0175,670.735,1668.875,1656.08875,2023.65375,1887.73125,1042,1082.8775,2477.5,1592.125,34.96,48.15
12.2,909.0175,673.61,1668.75,1656.74625,2024.2825,1888.60625,1042.125,1083.9325,2478.5,1592.75,34.99,48.15
12.3,909.0175,676.60875,1668.75,1657.405,2024.975,1889.415,1042.375,1085.40875,2479.5,1593.375,34.98,48.13
12.4,909.0175,679.85875,1668.75,1658.2825,2025.7925,1890.29,1042.625,1087.09625,2480.5,1594.125,34.99,48.11
12.5,909.12875,683.35875,1668.75,1659.26875,2026.67375,1891.23375,1042.75,1088.995,2481.625,1594.75,34.99,48.16
12.6,909.12875,687.1075,1668.75,1660.36625,2027.68125,1892.17625,1043.125,1091.52625,2482.75,1595.5,34.98,48.15
12.7,909.12875,690.98125,1668.75,1661.5725,2028.81375,1893.18625,1043.25,1094.26875,2483.75,1596.25,34.99,48.2
12.8,909.12875,695.10625,1668.75,1662.8875,2030.00875,1894.26375,1043.5,1097.2225,2485,1597,34.98,48.17
12.9,909.3525,699.355,1668.75,1664.42375,2031.2675,1895.3425,1043.75,1100.5975,2486.25,1597.75,34.96,48.22
13,909.46375,703.855,1668.75,1666.06875,2032.65125,1896.4875,1044,1104.605,2487.5,1598.5,35,48.24
13.1,909.6875,708.47875,1668.75,1667.8225,2034.09875,1897.7,1044.125,1108.82375,2488.875,1599.375,34.98,48.27
13.2,909.91,713.22875,1668.75,1669.79625,2035.6725,1898.845,1044.5,1113.465,2490.125,1600,34.99,48.27
13.3,910.245,718.2275,1668.75,1671.99,2037.30875,1900.05625,1044.75,1118.73875,2491.375,1600.75,34.99,48.28
13.4,910.58,723.35125,1668.75,1674.18375,2039.07,1901.2025,1045,1124.0125,2492.625,1601.625,34.96,48.29
13.5,911.02625,728.47625,1668.75,1676.59625,2040.8325,1902.3475,1045.125,1130.13,2494,1602.375,34.99,48.37
13.6,911.58375,733.85,1668.875,1679.00875,2042.6575,1903.425,1045.5,1136.67,2495.125,1603.125,34.98,48.37
13.7,912.14125,739.09875,1668.875,1681.53125,2044.48125,1904.5025,1045.625,1143.42,2496.375,1604,34.98,48.44
13.8,912.69875,744.4725,1668.875,1684.05375,2046.30625,1905.5125,1045.875,1150.38125,2497.625,1604.875,34.99,48.41
13.9,913.48,749.9725,1668.875,1686.575,2048.13125,1906.5225,1046.125,1157.55375,2498.75,1605.75,34.99,48.44
14,914.26125,755.34625,1669,1689.2075,2049.83,1907.46625,1046.25,1164.93625,2500,1606.5,34.98,48.47
14.1,915.265,760.72,1669.125,1691.73,2051.5925,1908.40875,1046.5,1172.74125,2501.125,1607.375,34.99,48.53
14.2,916.1575,766.21875,1669.125,1694.2525,2053.29125,1909.2175,1046.75,1180.54625,2502.25,1608.375,34.98,48.53
14.3,917.27375,771.59375,1669.25,1696.775,2054.9275,1910.025,1046.875,1188.14125,2503.375,1609.125,34.98,48.55
14.4,918.38875,776.9675,1669.375,1699.29625,2056.5,1910.69875,1047,1195.94625,2504.375,1610,34.99,48.59
14.5,919.61625,782.46625,1669.5,1701.81875,2058.07375,1911.3725,1047.25,1203.75125,2505.375,1610.875,35.02,48.62
14.6,920.955,787.715,1669.5,1704.12125,2059.52125,1912.04625,1047.375,1211.345,2506.375,1611.75,34.98,48.63
14.7,922.29375,793.09,1669.625,1706.425,2060.96875,1912.6525,1047.5,1218.94,2507.375,1612.625,34.96,48.63
14.8,923.74375,798.33875,1669.875,1708.7275,2062.29,1913.19125,1047.625,1226.745,2508.375,1613.625,34.99,48.71
14.9,925.0825,803.5875,1669.875,1710.92125,2063.61125,1913.6625,1047.75,1234.33875,2509.25,1614.5,35,48.7
15,926.645,808.7125,1670,1713.005,2064.87,1914.0675,1047.75,1241.9325,2510.25,1615.375,35,48.75
15.1,928.31875,813.71125,1670.125,1715.0875,2066.065,1914.47125,1047.875,1249.31625,2511.125,1616.125,34.98,48.76
15.2,929.76875,818.71,1670.375,1717.0625,2067.135,1914.8075,1048,1256.69875,2512,1617,34.98,48.77
15.3,931.4425,823.71,1670.5,1718.92625,2068.2675,1915.145,1048.125,1263.66125,2512.75,1617.875,34.98,48.82
15.4,933.11625,828.58375,1670.625,1720.79125,2069.27375,1915.41375,1048.25,1270.8325,2513.625,1618.75,34.99,48.85
15.5,934.6775,833.4575,1670.75,1722.545,2070.155,1915.61625,1048.25,1277.79375,2514.375,1619.5,34.98,48.85
15.6,936.35125,838.2075,1670.875,1724.19,2071.09875,1915.8175,1048.375,1284.33375,2515,1620.375,34.99,48.87
15.7,938.025,842.83125,1671,1725.835,2071.9175,1916.02,1048.375,1291.08375,2515.875,1621.125,34.99,48.87
15.8,939.69875,847.455,1671.125,1727.37,2072.735,1916.155,1048.5,1297.4125,2516.5,1621.875,35,48.93
15.9,941.37125,851.955,1671.25,1728.79625,2073.4275,1916.2225,1048.5,1303.74125,2517.125,1622.75,34.96,48.93
16,942.93375,856.45375,1671.5,1730.2225,2074.1825,1916.3575,1048.625,1309.85875,2517.875,1623.5,34.99,48.95
16.1,944.6075,860.70375,1671.625,1731.5375,2074.81125,1916.42375,1048.625,1315.765,2518.5,1624.25,34.98,48.98
16.2,946.28,864.9525,1671.75,1732.74375,2075.3775,1916.42375,1048.625,1321.67125,2519.125,1625,34.98,49
16.3,947.8425,869.2025,1671.875,1733.95,2075.945,1916.42375,1048.75,1327.15625,2519.75,1625.75,34.99,49.01
16.4,949.405,873.32625,1672,1735.0475,2076.4475,1916.42375,1048.75,1332.85125,2520.375,1626.5,34.99,49.03
